user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,16,2012-02-11,9,79,2.30547093,0.727295103,0.336003846
1,1,16,2012-06-30,5,266,1.797903743,0.774314996,0.341115948
1,1,16,2012-09-23,1,66.7,1,0,1
1,1,16,2012-12-14,2,1277.8,0.7,1,0
1,1,16,2013-03-09,1,11.11,0,0,1
1,1,16,2013-05-29,-,-,-,-,-
1,1,16,2013-10-01,10,154,3.182005815,0.957879197,0.12244898
1,1,16,2014-02-22,3,33,1.584962501,1,0.333333333
1,1,16,2014-08-01,8,446,2.687785768,0.895928589,0.190060126
1,1,16,2015-03-17,4,31,1.9,0.95,0.29
1,1,16,2015-09-10,8,715,2.248,0.749,0.257
1,1,16,2016-02-15,3,30,1.522,0.96,0.36
1,1,16,2016-07-14,9,1386,2.34839559,0.740836325,0.250440917
1,1,16,2017-03-08,4,1024,1.702819531,0.851409766,0.3515625
1,1,16,2017-08-31,2,48,0.954434003,0.954434003,0.53125
1,1,16,2018-05-22,6,402,1.891,0.731,0.344
1,1,16,2018-09-18,3,168,590,0.372,0.804
1,1,16,2019-03-29,6,78,2.412,0.933,0.207
1,1,16,2019-09-17,1,45,0,0,1
1,1,16,2020-05-20,3,150,1.37,0.86,0.44
1,1,16,2020-09-17,2,368,0.258,0.258,0.917
1,1,16,2021-03-31,4,56,1.664497779,0.83224889,0.387755102
1,1,16,2021-09-15,4,64,1.75,0.875,0.34375
1,1,16,2022-04-10,6,288,2.149304879,0.831464626,0.271604938
1,1,16,2022-07-18,5,104,2.16197818,0.931113321,0.24260355
1,2,16,2012-02-11,20,668870,2.055742838,0.686223818,0.227059907
1,2,16,2012-06-30,11,953370,1.899105557,0.791988532,0.200165289
1,2,16,2012-09-23,23,13900,2.9,0.9,0.1
1,2,16,2012-12-14,5,59360,2.32,0.865,0.713
1,2,16,2013-03-09,2,25.2,0.567,0.462,0.231
1,2,16,2013-05-29,4,20160,1.626,0.833,0.625
1,2,16,2013-10-01,9,1248723,0.874889642,0.398179435,0.584336215
1,2,16,2014-02-22,11,148622,0.700669379,0.292201827,0.719228225
1,2,16,2014-08-01,12,1263889,1.063926735,0.428155615,0.451894603
1,2,16,2015-03-17,9,4593332,1.24,0.57,0.36
1,2,16,2015-09-10,11,525549,0.594,0.248,0.746
1,2,16,2016-02-15,5,11523,1.019,0.633,0.478
1,2,16,2016-07-14,16,584780,1.815735077,0.654887998,0.258163265
1,2,16,2017-03-08,14,85380867,1.657271436,0.627978565,0.233175804
1,2,16,2017-08-31,9,685028,0.981838407,0.446853916,0.583878644
1,2,16,2018-05-22,15,2851828,1.892,0.699,0.226
1,2,16,2018-09-18,15,1150630,1.969,0.727,0.17
1,2,16,2019-03-29,9,156145,1.413,0.643,0.328
1,2,16,2019-09-17,22,13855500,1.46,0.47,0.32
1,2,16,2020-05-20,20,356738,2.3,0.77,0.14
1,2,16,2020-09-17,12,1359787,1.769,0.712,0.234
1,2,16,2021-03-31,7,2465904,0.523900202,0.269231445,0.782421178
1,2,16,2021-09-15,11,1268036,1.508472308,0.629081814,0.314721367
1,2,16,2022-04-10,8,2656572,1.307054843,0.628560513,0.389838218
1,2,16,2022-07-18,11,2268111,1.685360573,0.70284995,0.231247181
1,3,16,2012-02-11,2,602,0.636897281,0.918848549,0.555187029
1,3,16,2012-06-30,2,651,0.636514168,0.918295834,0.555555556
1,3,16,2012-09-23,0,0,0,0,0
1,3,16,2012-12-14,-,-,-,-,-
1,3,16,2013-03-09,1,3.36,0,0,0
1,3,16,2013-05-29,-,-,-,-,-
