user_id,point_id,standard_id,date,conductivity,totaldissolvedsolids_tds,totalsuspendedsolids_tss,turbidity,hardness,alkalinity_ascaco3,alkalinitycarbonate,alkalinitybicarbonate,temperature,salinity,dissolvedoxygen_do,ph,alkalinitytotal,chloride_cl,fluoride_f,sulphate_so4,sulphite_h2s,freechlorine_cl2,freecyanide_fcn,totalcyanide_cntot,wadcyanide_cnwad,ammonia_nh4,ammonium_n_nh3,nitrate_no3,nitrite_no2,phosphate_po4,totalphosphate_ppo4,aluminium_al,antimony_sb,arsenic_as,barium_ba,cadmium_cd,calcium_ca,chromium_cr,chromiumhexavalent_cr6,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,tin_sn,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromiumhexavalent_tcr6,chromium_tcr,cobalt_tco,copper_tco,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oilandgrease,totalphenols,surfactant_mbas,totalpcb,aox,pcdfs,pcdds,fecalcoliform,ecoli,totalcoliformbacteria
1,3,3,2010-04-05,112,79,30,62.7,-,-,-,-,26.9,0,-,7.74,-,3.1,0.13,6,0.02,-,0.005,0.005,0.005,0.02,-,0.038,0.002,0.095,-,-,-,0.0006,-,0.0001,-,-,-,-,0.005,0.46,0.005,-,0.007,0.00003,0.001,-,0.0001,-,-,0.012,0.36,-,0.0001,-,0.01,0.001,-,-,0.0005,0.00003,-,-,5,10,5,0.001,0.01,-,-,-,-,-,1540,4840
1,3,3,2010-05-03,128,90,5,6.1,-,-,-,-,29.6,0,-,6.78,-,2.4,0.11,5,0.02,-,0.005,0.005,0.005,0.02,-,0.005,0.001,0.049,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.18,0.001,-,0.02,0.00002,0.001,-,0.0001,-,-,0.007,0.079,-,0.0001,-,0.01,0.001,-,-,0.0005,0.00002,-,-,5,10,5,0.001,0.01,-,-,-,-,-,20,4840
1,3,3,2010-06-01,132,92,26,37.4,-,-,-,-,32.6,0,-,8.04,-,1.6,0.16,5,0.02,-,0.005,0.005,0.005,0.02,-,0.125,0.001,0.035,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.7,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.005,0.386,-,0.0001,-,0.02,0.001,-,-,0.0005,0.00002,-,-,5,10,5,0.001,0.01,-,-,-,-,-,2,2600
1,3,3,2010-07-05,156,110,141,162,-,-,-,-,27.6,0,-,7.54,-,1.6,0.19,2,0.02,-,0.005,0.005,0.005,0.04,-,0.045,0.002,0.083,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.14,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.005,0.489,-,0.0001,-,0.01,0.001,-,-,0.0005,0.00002,-,-,5,10,5,0.001,0.01,-,-,-,-,-,820,4840
1,3,3,2010-08-02,148,104,63,227,-,-,-,-,26,0,-,7.52,-,2,0.15,2,0.02,-,0.005,0.005,0.005,0.02,-,0.033,0.002,0.063,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.43,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.005,19.9,-,0.0001,-,0.01,0.003,-,-,0.0005,0.00002,-,-,5,10,5,0.001,0.01,-,-,-,-,-,2820,4840
1,3,3,2010-09-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,3,2010-10-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,3,2010-11-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,3,2010-12-01,161,113,61,81.4,-,-,-,-,24.7,0,4.97,6.85,-,2.3,0.15,24,0.02,-,0.005,0.005,0.005,0.02,-,0.015,0.001,0.021,-,-,-,0.0005,-,0.0001,-,-,-,-,0.005,0.16,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.005,5.16,-,0.0002,-,0.01,0.001,-,-,0.0005,0.00002,-,-,3,10,5,0.001,0.01,-,-,-,-,-,4840,4840
1,3,3,2011-01-03,157,110,29,38.3,-,-,-,-,27.4,0,5.01,7.77,-,2.9,0.15,9,0.02,-,0.005,0.005,0.005,0.02,-,0.006,0.001,0.025,-,-,-,0.001,-,0.0001,-,-,-,-,0.005,0.11,0.001,-,0.005,0.00002,0.001,-,0.001,-,-,0.01,3.6,-,0.0002,-,0.01,0.002,-,-,0.004,0.00004,-,-,2,10,5,0.001,0.02,-,-,-,-,-,178,4840
1,3,3,2011-02-01,137,96,233,-,-,-,-,-,26.5,0,5.19,7.48,-,2.6,0.16,11,0.02,-,0.005,0.005,0.005,0.02,-,0.198,0.002,0.085,-,0.688,-,0.001,-,0.0001,-,0.001,0.01,0.001,0.005,0.29,0.001,-,0.005,0.00002,0.001,-,0.0001,-,-,0.005,9.47,0.004,0.0002,-,-,0.002,0.02,0.002,0.001,0.00002,0.002,0.02,2,10,5,0.001,0.01,-,-,-,-,-,880,4840
1,3,3,2011-03-01,177,124,132,-,-,-,-,-,30.2,0,6.4,7.33,-,2.3,0.14,29,0.02,-,0.005,0.005,0.005,0.02,-,0.143,0.003,0.024,-,0.184,-,0.0006,-,0.0001,-,0.001,-,0.001,0.005,0.07,0.001,-,0.099,0.00002,0.001,-,0.0001,-,-,0.005,7.33,0.001,0.0003,0.002,0.01,0.002,0.01,0.002,0.001,0.00005,0.002,0.019,2,10,5,0.001,0.01,-,-,-,-,-,820,4840
1,3,3,2011-04-04,177,124,126,-,-,-,-,-,28.1,0,5.2,7.6,-,2.2,0.16,14,0.02,-,0.005,0.005,0.005,0.02,-,3.24,0.007,0.032,-,0.041,-,0.001,-,0.0001,-,-,-,0.001,0.005,0.02,0.001,-,0.05,0.00002,0.001,-,0.001,-,-,0.01,6.18,0.005,0.0002,-,-,0.002,0.012,0.002,0.001,0.00002,0.002,0.01,2,10,5,0.001,0.01,-,-,-,-,-,420,4840
