standard_id,user_id,codesample_id,date,start_time,tss,ph,do,orp,conductivity,tds,temperatur,salinity,turbidity,tl_wall,tl_tsf,water_condition,water_color,odor,rain,rain_during_sampling,oil_layer,source_pollution,sampler,cyanide,level,lvl_lgr,debit_s,debit_d
1,1,1,2016-01-01,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-02,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-03,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-04,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-05,9:20 AM,10,6.3,7.2,185,365,237,30.4,0,0,0,0,Surut,Keruh,Ya,Ya,Tidak,Tidak,ex. exploration act.,AP/BK/CR/RT,0,0,0,0,0
1,1,1,2016-01-06,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-07,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-08,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-09,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-10,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-11,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-12,8:02 AM,11,3,5,111,212,143,23,0,0,0,0,Surut,Agak Keruh,Ya,Tidak,Tidak,Tidak,ex. exploration act.,BK/CR/RT,0,0,0,0,0
1,1,1,2016-01-13,9:02 AM,18,6.5,6.7,121,312,202,27.9,0,0,0,0,Surut,Agak Keruh,Ya,Tidak,Tidak,Tidak,ex. exploration act.,BK/CR/RT,0,0,0,0,0
1,1,1,2016-01-14,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-15,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-16,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-17,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-18,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-19,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-20,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-21,8:44 AM,34,6.3,6.9,183,416,268,28.8,0,0,0,0,Surut,Keruh,Ya,Ya,Tidak,Tidak,ex. exploration act.,AL/BK,0,0,0,0,0
1,1,1,2016-01-22,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-23,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-24,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-25,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-26,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-27,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-28,10:14 AM,15,7.3,6.5,123,393,276,28.4,0,0,0,0,Surut,Keruh,Ya,Ya,Tidak,Tidak,ex. exploration act.,AL/CR/RT,0,0,0,0,0
1,1,1,2016-01-29,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-30,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
1,1,1,2016-01-31,error,error,error,error,error,error,error,error,0,0,0,0,error,error,error,error,error,error,error,error,0,0,0,0,0
