user_id,point_id,date,rainfall
1,1,2022-08-01,0
1,1,2022-08-02,0
1,1,2022-08-03,0
1,1,2022-08-04,0
1,1,2022-08-05,12.5
1,1,2022-08-06,0.5
1,1,2022-08-07,22
1,1,2022-08-08,14
1,1,2022-08-09,0
1,1,2022-08-10,0
1,1,2022-08-11,4
1,1,2022-08-12,0
1,1,2022-08-13,0
1,1,2022-08-14,2
1,1,2022-08-15,3
1,1,2022-08-16,3
1,1,2022-08-17,0
1,1,2022-08-18,22
1,1,2022-08-19,0
1,1,2022-08-20,0
1,1,2022-08-21,0
1,1,2022-08-22,15
1,1,2022-08-23,0
1,1,2022-08-24,26
1,1,2022-08-25,1.5
1,1,2022-08-26,4
1,1,2022-08-27,2.5
1,1,2022-08-28,0
1,1,2022-08-29,5.5
1,1,2022-08-30,5.5
1,1,2022-08-31,1.5
