user_id,biota_id,location_id,date,taxa_richness,species_density,diversity_index,evenness_value,dominance_index
1,1,4,2019-03-18,10,114,2.97,0.894,0.163
1,1,4,2019-09-18,2,90,1,1,0.5
1,1,4,2020-05-22,6,720,1.37,0.53,0.58
1,1,4,2020-09-28,1,8,0,0,1
1,1,4,2021-03-16,4,49,1.950212065,0.975106032,0.265306122
1,1,4,2021-09-15,2,56,0.863120569,0.863120569,0.591836735
1,1,4,2022-04-12,1,104,0,0,1
1,1,4,2022-07-12,3,32,1.5,0.94639463,0.375
1,2,4,2019-03-18,9,582830,1.455,0.662,0.36
1,2,4,2019-09-18,20,2481500,2.14,0.71,0.18
1,2,4,2020-05-22,19,218377,2.42,0.82,0.12
1,2,4,2020-09-28,14,968890,2.006,0.76,0.2
1,2,4,2021-03-16,14,2969847,1.372849717,0.520204583,0.407783257
1,2,4,2021-09-15,12,641536,1.174681583,0.472726645,0.538696289
1,2,4,2022-04-12,11,2514554,1.797085008,0.749442658,0.208088211
1,2,4,2022-07-12,10,488709,1.699826193,0.738225136,0.232960771
1,3,4,2019-03-18,1,6880,0,0,1
1,3,4,2019-09-18,4,12500,1.33,0.96,0.28
1,3,4,2020-05-22,2,5001,0.64,0.92,0.56
1,3,4,2020-09-28,2,10023,0.637,0.918,0.556
1,3,4,2021-03-16,6,45947,1.720193459,0.960058249,0.190082645
1,3,4,2021-09-15,3,20048,1.039720771,0.94639463,0.375
1,3,4,2022-04-12,6,108602,1.585770835,0.885035554,0.24260355
1,3,4,2022-07-12,5,37593,1.522955068,0.946265187,0.234567901
1,4,4,2019-03-18,6,3356000,0.343,0.192,0.847
1,4,4,2019-09-18,23,125115,1.16,0.37,0.43
1,4,4,2020-05-22,21,7005,2.16,0.71,0.15
1,4,4,2020-09-28,20,412000,1.865,0.623,0.232
1,4,4,2021-03-16,11,386000,1.503496205,0.627006618,0.302980483
1,4,4,2021-09-15,8,56800,1.15836589,0.557056242,0.464590359
1,4,4,2022-04-12,7,126800,1.467437424,0.75411366,0.270148972
1,4,4,2022-07-12,11,108000,1.428217603,0.595613002,0.320960219
1,5,4,2019-03-18,0,0,0,0,0
1,5,4,2019-09-18,4,560,0.26,0.19,0.9
1,5,4,2020-05-22,9,1305,0.6,0.28,0.77
1,5,4,2020-09-28,8,7200,1.658,0.797,0.265
1,5,4,2021-03-16,5,3200,1.494175138,0.928383212,0.25
1,5,4,2021-09-15,3,1600,1.039720771,0.94639463,0.375
1,5,4,2022-04-12,4,2400,1.329661349,0.959147917,0.277777778
1,5,4,2022-07-12,4,2000,1.33217904,0.960964047,0.28
