user_id,point_id,date,time_observation,day_rainfall,initial_water_elevation,final_water_elevation
1,1,2022-08-01,9:00 AM,0,25,21.8
1,1,2022-08-02,9:00 AM,0,25,20.6
1,1,2022-08-03,9:00 AM,0,25,21.2
1,1,2022-08-04,9:00 AM,0.5,25,22.7
1,1,2022-08-05,9:00 AM,0.5,25,23.4
1,1,2022-08-06,9:00 AM,34.5,25,56
1,1,2022-08-07,9:00 AM,13,25,34.7
1,1,2022-08-08,9:00 AM,8,25,31.2
1,1,2022-08-09,9:00 AM,0,25,20.5
1,1,2022-08-10,9:00 AM,0,25,20
1,1,2022-08-11,9:00 AM,0,25,19.2
1,1,2022-08-12,9:00 AM,0,25,20.2
1,1,2022-08-13,9:00 AM,0,25,20.4
1,1,2022-08-14,9:00 AM,1,25,23.8
1,1,2022-08-15,9:00 AM,3,25,28.2
1,1,2022-08-16,9:00 AM,3,25,22.9
1,1,2022-08-17,9:00 AM,0,25,20.8
1,1,2022-08-18,9:00 AM,24.5,25,48.1
1,1,2022-08-19,9:00 AM,0,25,20
1,1,2022-08-20,9:00 AM,0,25,20.6
1,1,2022-08-21,9:00 AM,0,25,20.9
1,1,2022-08-22,9:00 AM,16,25,37.4
1,1,2022-08-23,9:00 AM,0,25,22.1
1,1,2022-08-24,9:00 AM,16,25,36
1,1,2022-08-25,9:00 AM,1,25,22
1,1,2022-08-26,9:00 AM,5,25,24.4
1,1,2022-08-27,9:00 AM,3,25,22.7
1,1,2022-08-28,9:00 AM,0,25,21.7
1,1,2022-08-29,9:00 AM,1.5,25,24.4
1,1,2022-08-30,9:00 AM,5,25,27.9
